001 第一回　　花縣城豪傑誕生　小山頭英雄聚首
002 第二回　　會深山群英結大義　游督幕智士釋豪商
003 第三回　　發伊犁錢東平充軍　入廣西洪秀全傳道
004 第四回　　鬧教堂巧遇胡以晃　論嘉禾計賺楊秀清
005 第五回　　楊秀清初進團練局　洪秀全失陷桂平牢
006 第六回　　羅大綱皈依拜上帝　韋昌輝乘醉殺婆娘
007 第七回　　韋昌輝義釋洪秀全　馮雲山聯合保良會
008 第八回　　馮雲山夜走貴縣　洪秀全起義金田
009 第九回　　劫知縣智窮石達開　渡斜谷計斬烏蘭泰
010 第十回　　洪仁發誤走張嘉祥　錢東平重會胡元煒
011 第十一回　　蕭朝貴計劫梧州關　馮雲山盡節全州道
012 第十二回　　洪秀全議棄桂林郡　錢東平智敗向提台
013 第十三回　　張國梁背義加官　賽尚阿單騎逃命
014 第十四回　　李秀成百騎下柳郡　石達開傳檄震湖南
015 第十五回　　胡林翼冷笑擲兵書　曾國藩遵旨興團練
016 第十六回　　洪宣嬌痛哭蕭朝貴　錢東平大破曾國藩
017 第十七回　　彭玉麟恤情贈軍餉　郭嵩燾獻策創水師
018 第十八回　　左宗棠應聘入撫衙　洪天王改元續漢統
019 第十九回　　封王位洪秀全拒諫　火漢陽曾天養鏖兵
020 第二十回　　向榮大戰武昌城　錢江獨進興王策
021 第二十一回　　洪天王開科修制度　湯總兵絕命賦詩詞
022 第二十二回　　向榮怒斥陸建瀛　錢江計斬蔣文慶
023 第二十三回　　勇鮑超獨救江忠源　智錢江夜賺吳觀察
024 第二十四回　　蕭王妃奪旗鎮江城　洪秀全定鼎金陵郡
025 第二十五回　　李秀成平定南康城　楊秀清敗走武昌府
026 第二十六回　　攻岳州智劫胡林翼　入廬郡賺斬江忠源
027 第二十七回　　李秀成二奪漢陽城　林鳳翔大戰揚州府
028 第二十八回　　林鳳翔夜奪揚州府　韋昌輝怒殺楊秀清
029 第二十九回　　錢東平揮淚送翼王　林鳳翔定計取淮郡
030 第三十回　　石達開詩退曾國藩　李秀成計破胡林翼
031 第三十一回　　韋昌輝刎頸答錢江　李鴻章單騎謁曾帥
032 第三十二回　　譚紹洸敗走武昌城　錢東平遁跡峨眉嶺
033 第三十三回　　李秀成一計下江蘇　林鳳翔十日平九郡
034 第三十四回　　林鳳翔大破訥丞相　李開芳再奪衛輝城
035 第三十五回　　李秀成出師鎮淮郡　林鳳翔敗走陷天津
036 第三十六回　　完大節三將歸神　拔九江天王用武
037 第三十七回　　陳英王平定江西地　劉麗川計取上海城
038 第三十八回　　取桐城陳其芒鏖兵　奉朝旨左宗棠拜將
039 第三十九回　　向軍門敗死丹陽鎮　胡林翼窺復武昌城
040 第四十回　　羅澤南走死興國州　羅大綱夜奪揚州府
041 第四十一回　　李忠王定計復武昌　陳玉成棄財破勝保
042 第四十二回　　守六合溫紹原盡忠　戰許灣鮑春霆奏捷
043 第四十三回　　金陵城大開男女科　李秀成義葬王巡撫
044 第四十四回　　張國梁投歿丹陽河　周天受戰死寧國府
045 第四十五回　　陳玉成大戰蘄水城　楊制台敗走黃梅縣
046 第四十六回　　李秀成義釋趙景賢　林啟榮大破塔齊布
047 第四十七回　　曾國藩會興五路兵　林啟榮盡節九江府
048 第四十八回　　龍虎戰大破陳玉成　官胡兵會收武昌府
049 第四十九回　　救九江曾國荃出身　戰三河李續賓殞命
050 第五十回　　戰桐城忠王卻鮑超　下浦口玉成破勝保
051 第五十一回　　何信義議獻江蘇城　石達開大戰衡州府
052 第五十二回　　李孟群戰死廬州城　左宗棠報捷浮梁縣
053 第五十三回　　雷正琯密札訪錢江　楊輔清匿兵破慶瑞
054 第五十四回　　破金陵歸結太平國　編野史重題懊儂歌
