[1] 瑪薩的君王肋慕耳的格言，是他母親教給他的：
[2] 我兒！我的親生兒！我的長子肋慕耳！我的長子肋慕耳！我許願所得的孩子！我可給你說些什麼？
[3] 你不要將你的精力，為女人而消耗；也不要為君王的宮女，白費你的血氣。
[4] 肋慕耳！清酒不宜於君王，醇酒不宜於公侯。
[5] 免得在酒興之餘，輕易將法律忘掉，顛倒窮人的是非。
[6] 應將醇酒給與哀慟欲絕的人，應將清酒給與心靈痛楚的人，
[7] 好叫他們喝了，完全忘掉自己的貧乏，不再記憶自己的憂苦。
[8] 你應為啞巴開口，為被棄的人辯護；
[9] 你應開口秉公行審，應為貧苦弱小辯護。
[10] 賢淑的婦女，有誰能找到？她本身價值，遠勝過珠寶。
[11] 她的丈夫對她衷心信賴，一切所需要從來不會缺少。
[12] 她一生歲月，只叫他幸福，不給他煩惱。
[13] 她弄來羊毛細麻，愉快地親手勞作。
[14] 她宛如一隻商船，由遠處運來食糧。
[15] 天還未明，她已起身，為給家人分配食物，給婢女們分派家務。
[16] 她看中一塊田地，就將它買了來，以雙手所得的收入，栽植了葡萄園。
[17] 她以勇力束腰，增強自己臂力。
[18] 她發覺自己經營生利，她的燈盞夜間仍不熄滅。
[19] 她手執紡錘，手指旋轉紗錠。
[20] 對貧苦的人，她隨手賙濟；對無靠的人，她伸手扶助。
[21] 為自己的家人，她不害怕風雪，因為全家上下，都穿雙料衣裳。
[22] 她為自己做華麗的舖蓋，身穿的是細麻和紫錦的衣裳。
[23] 她的丈夫與當地長老同席，在城門口深為眾人所認識。
[24] 她紡織紗布予以出售，又製造腰帶賣與商賈。
[25] 剛毅和尊嚴是她的服飾，一念及將來便笑容滿面。
[26] 她一開口即傾吐智慧，舌上常有仁慈的訓誨。
[27] 她不斷督察家務，從不白吃閒飯。
[28] 她的子女起來向她祝福，她的丈夫對她讚不絕口：
[29] 「賢淑的女子很多，唯有你超群出眾。」
[30] 姿色是虛幻，美麗是泡影；敬畏上主的女人，纔堪當受人讚美。
[31] 願她享受她雙手操勞的成果！願她的事業在城門口使她受讚揚！
