000 談 孽海花
001 第一回　一霎狂潮陸沉奴樂島　卅年影事托寫自由花
002 第二回　陸孝廉訪艷宴金閶　金殿撰歸裝留滬瀆
003 第三回　領事館鋪張賽花會　半敦生演說西林春
004 第四回　光明開夜館福晉呈身　康了困名場歌郎跪月
005 第五回　開搏賴有長生庫　插架難遮素女圖
006 第六回　獻繩技唱黑旗戰史　聽笛聲追白傅遺蹤
007 第七回　寶玉明珠彈章成艷史　紅牙檀板畫舫識花魁
008 第八回　避物議男狀元偷娶女狀元　借誥封小老母權充大老母
009 第九回　遣長途醫生試電術　憐香伴愛妾學洋文
010 第十回　險語驚人新欽差膽破虛無黨　清茶話舊侯夫人名噪賽工場
011 第十一回　潘尚書提倡公羊學　黎學士狂臚老韃文
012 第十二回　影並帝天初登布士殿　學通中外重翻交界圖
013 第十三回　誤下第遷怒座中賓　考中書互爭門下士
014 第十四回　兩首新詩是譎官月老　一聲小調顯命婦風儀
015 第十五回　瓦德西將軍私來大好日　斯拉夫民族死爭自由天
016 第十六回　席上逼婚女豪使酒　鏡邊語影俠客窺樓
017 第十七回　辭鴛侶女傑赴刑台　遞魚書航師嘗禁臠
018 第十八回　遊草地商量請客單　借花園開設談瀛會
019 第十九回　淋漓數行墨五陵未死健兒心　的爍三明珠一笑來觴名士壽
020 第二十回　一紙書送卻八百里　三寸舌壓倒第一人
021 第二十一回　背履歷庫丁蒙廷辱　通苞苴衣匠弄神通
022 第二十二回　隔牆有耳都院會名花　宦海回頭小侯驚異夢
023 第二十三回　天威不測蜚語中詞臣　隱恨難平違心驅俊僕
024 第二十四回　憤輿論學士修文　救藩邦名流主戰
025 第二十五回　疑夢疑真司農訪鶴　七擒七縱巡撫吹牛
026 第二十六回　主婦索書房中飛赤鳳　天家脫輻被底臥烏龍
027 第二十七回　秋狩記遺聞白妖轉劫　春帆開協議黑眚臨頭
028 第二十八回　棣萼雙絕武士道捨生　霹靂一聲革命團特起
029 第二十九回　龍吟虎嘯跳出人豪　燕語鶯啼驚逢逋客
030 第三十回　白水灘名伶擲帽　青陽港好鳥離籠
031 第三十一回　摶雲搓雨弄神女陰符　瞞鳳棲鸞惹英雌決鬥
032 第三十二回　艷幟重張懸牌燕慶里　義旗不振棄甲雞隆山
033 第三十三回　保殘疆血戰台南府　謀革命舉義廣東城
034 第三十四回　雙門底是烈女殉身處　萬木堂作素王改制談
035 第三十五回　燕市揮金豪公子無心結死士　遼天躍馬老英雄仗義送孤臣
