001 第一卷　　演說官場備呈醜態　鑽謀差使細訴奇形
002 第二卷　　查牙帖師爺得意　教方法和尚多情
003 第三卷　　拉面子小民吃苦　轉口風上憲垂青
004 第四卷　　如意丹終能如意　稱心丸難說稱心話
005 第五卷　　三千兩無心插柳　十萬元有意栽花
006 第六卷　　猾知縣邀歡大幕　莽道台交惡中丞
007 第七卷　　吃醋爭風釀成大獄　低頭順腦約法三章
008 第八卷　　捉賭審奸連番笑柄　損人利己一味推辭
009 第九卷　　大言炎炎賣國奴出丑　小心翼翼偽君子升官
010 第十卷　　似是而非夫妻反目　掂斤播兩兄弟失和
011 第十一卷　　計機布阱一片神機　地久天長一場春夢
012 第十二卷　　移東補西簿書莫考　因奸及騙歷史難堪
013 第十三卷　　欲界奇逢秀才捐通判　終南捷徑觀察作隨員
014 第十四卷　　設圈套女學界蒙污點　拔短梯新孝廉喪良心
015 第十五卷　　廣寒宮碧美娘蓄妓　白雲觀安道士欺心
016 第十六卷　　衣冠禽獸布就牢籠　草澤英雄安排巧計
017 第十七卷　　車頭兒藏奸弄縣主　封大令竭力媚鄉紳
018 第十八卷　　利欲薰心當堂笞秀才之臀　大公無我默地探處女之陰
019 第十九卷　　赭衣人翻為座上客　藍袍人不是個中人
020 第二十卷　　蓮花庵妖尼施毒藥　彰州城迷婦返清心
021 第二十一卷　　冤聲載道裁判員調差　闊氣沖天理刑廳蒞驛
022 第二十二卷　　鳳仙娘巧制遊仙曲　薄命女悲題絕命詞
023 第二十三卷　　白於玉深宵設計　尤味蘭一命嗚呼
024 第二十四卷　　尤貢士屍場遞和息　楊理刑煙榻認乾爹
025 第二十五卷　　賣風流意在迎奸　談因果心存勸世
026 第二十六卷　　評紅樓夢才女具慧心　贈碧玉環賊官露馬腳
027 第二十七卷　　家主家奴尊卑失序　阿爹阿女倫理淪亡
028 第二十八卷　　露真贓滿紙胡言　啟疑心一條妙計
029 第二十九卷　　鄧鳳奴遊戲示奇謀　尤仙姐淒涼感陳跡
030 第三十卷　　話到前塵分明因果　談來現象洵是淫昏
031 第三十一卷　　客館中不堪回首　舞台上引動春魂
032 第三十二卷　　一場好夢等空花　八集新書正結束
