001 第一回 　　入官階昌平為令　升公堂百姓呼冤 
002 第二回 　　胡地甲誣良害己　洪都頭借語知情 
003 第三回 　　孔萬德驗屍呼錯　狄仁傑賣藥微行 
004 第四回 　　設醫科入門治病　見幼女得啞生疑 
005 第五回 　　入浴室多言露情節　尋墳墓默禱顯靈魂 
006 第六回 　　老土工出言無狀　賢令尹問案升堂 
007 第七回 　　老婦人苦言求免　賢縣令初次問供 
008 第八回 　　鞫奸情利口如流　提老婦癡人可憫 
009 第九回 　　陶土工具結無辭　狄縣令開棺大驗 
010 第十回 　　惡淫婦阻擋收棺　賢縣令誠心宿廟 
011 第十一回 　　求靈簽隱隱相合　詳夢境鑿鑿而談 
012 第十二回 　　說對聯猜疑徐姓　得形影巧遇馬榮 
013 第十三回 　　雙土寨狄公訪案　老絲行趙客聞風 
014 第十四回 　　請莊客馬榮交手　遇鄉親蔣忠談心 
015 第十五回 　　趙萬全明言知盜首　狄梁公故意釋姦淫 
016 第十六回 　　聾差役以訛錯訛　賢令尹將盜緝盜 
017 第十七回 　　問路徑小官無禮　見凶犯舊友謊言 
018 第十八回 　　蒲萁寨半路獲凶人　昌平縣大堂審要犯 
019 第十九回 　　邵禮懷認懷認供結案　華國祥投縣呼冤 
020 第二十回 　　胡秀士戲言召禍　狄縣令度情審案 
021 第二十一回 　　善言開導免驗屍骸　審口供升堂訊問 
022 第二十二回 　　想案情猛然省悟　聽啞語細觀行蹤 
023 第二十三回 　　訪凶人聞聲報信　見毒蛇開釋無辜 
024 第二十四回 　　假消息假言請客　為盜賊大意驚人 
025 第二十五回 　　以假弄真何愷捉賊　依計行事馬榮擒人 
026 第二十六回 　　見縣官書生迂腐　揭地窯邑宰精明 
027 第二十七回 　　少年郎借助供認不諱　淫潑婦忍辱熬刑 
028 第二十八回 　　真縣令扮作閻王　假陰官審明奸婦 
029 第二十九回 　　狄梁公審明奸案　閻立本保奏賢臣 
030 第三十回 　　赴殺場三犯施刑　入山東二臣議事 
031 第三十一回 　　大巡撫訪問惡棍　小黃門貪索贓銀 
032 第三十二回 　　元行衝奏參小吏　武三思懷恨大臣 
033 第三十三回 　　狄仁傑奏參污吏　洪如珍接見大員 
034 第三十四回 　　接印綬舊任受辱　發公文老民伸冤 
035 第三十五回 　　審惡奴受刑供認　辱奸賊設計譏嘲 
036 第三十六回 　　敲銅鑼遊街示眾　執皮鞭押令念供 
037 第三十七回 　　眾豪奴恃強圖劫　好巡捕設計騙人 
038 第三十八回 　　投書信誤投羅網　入衙門自入牢籠 
039 第三十九回 　　求人情惡打張昌宗　施國法怒斬周卜成 
040 第四十回 　　入早朝直言面奏　遇良友細訪奸僧 
041 第四十一回 　　入山門老衲說真情　尋暗室道婆行穢事 
042 第四十二回 　　王虔婆花言騙烈婦　狄巡撫妙計遣公差 
043 第四十三回 　　王進土擊鼓鳴冤　老奸婦受刀身死 
044 第四十四回 　　金鑾殿狄仁傑直言　白馬寺武三思受窘 
045 第四十五回 　　搜地窖李氏盡節　升大堂懷義拷供 
046 第四十六回 　　金鑾殿兩臣爭奏　刑部府奸賊徇私 
047 第四十七回 　　眾百姓大鬧法堂　武三思哀求巡撫 
048 第四十八回 　　武承業罪定奸僧　薛敖曹夜行穢事 
049 第四十九回 　　薛敖曹半途遭擒　狄梁公一心除賊 
050 第五十回 　　查舊案顯出賀三太　記前仇閹割薛敖曹 
051 第五十一回 　　薛敖曹哭訴宮廷　武則天怒召奸黨 
052 第五十二回 　　懷宿怨誣奏忠良　出憤言挽回奸計 
053 第五十三回 　　用非刑敬宗行毒　傳聖詔偉之盡忠 
054 第五十四回 　　狄仁傑掌頰武承嗣　許敬宗勾結李飛雄 
055 第五十五回 　　太行山王魁送信　東京城敬宗定謀 
056 第五十六回 　　李飛雄兵下太行山　胡世經力守懷慶府 
057 第五十七回 　　安金藏剖心哭諫　狄仁傑奉命提兵 
058 第五十八回 　　開戰事金城送命　遇官兵吳猛亡身 
059 第五十九回 　　訪舊友計入敵營　獲勝仗命攻大寨 
060 第六十回 　　四面出兵飛雄中計　兩將身死馬榮回營 
061 第六十一回 　　李飛雄悔志投降　安金藏入朝報捷 
062 第六十二回 　　廬陵王駕回懷慶　高縣令行毒孟城 
063 第六十三回 　　見母後太子還朝　念老臣狄公病故 
064 第六十四回 　　張柬之用謀除賊　廬陵王復位登朝 
