000 本書說明
001 第一回　　恬淡人讀史問天
002 第二回　　通元子安排果報
003 第三回　　冥判官發放回陽
004 第四回　　趙與胡兩家鬼祟
005 第五回　　趙文華納妹東樓
006 第六回　　于少保奉旨回陽
007 第七回　　張總督出征倭寇
008 第八回　　曹邦輔海上從征
009 第九回　　通元子初助破倭
010 第十回　　兩奸賊攘功肆虐
011 第十一回　　三義人救主逃生
012 第十二回　　烏金蕩埋名習武
013 第十三回　　趙懌思忤父歸杭
014 第十四回　　丑胡彪甘做陪堂
015 第十五回　　莽童昆大鬧西湖
016 第十六回　　陳素娥雪洞藏洪
017 第十七回　　美洪昆夜跌杜園
018 第十八回　　巧玉蓮懷孕雙奔
019 第十九回　　龍仙姑騰空駭趙
020 第二十回　　勇蔡飛救難酬恩
021 第二十一回　　棗核釘毒計栽誣
022 第二十二回　　蔡小妹獄中雙救
023 第二十三回　　杜金定兩遭毒手
024 第二十四回　　小洪猛幻形救杜
025 第二十五回　　莽童昆義殺淫妻
026 第二十六回　　通元子妙法救童
027 第二十七回　　賣花叟借言警俗
028 第二十八回　　棗核釘再搶素娥
029 第二十九回　　陳素娥落院刺胡
030 第三十回　　美洪昆北游樓會
031 第三十一回　　高玉英嘉偶受蟾
032 第三十二回　　棗核釘考黜褫衿
033 第三十三回　　秦彩鸞游園入夢
034 第三十四回　　華佗廟夢引宿因
035 第三十五回　　烏金蕩洪昆訪友
036 第三十六回　　武洪昆獨打仇人
037 第三十七回　　沈蘭馨拜師習武
038 第三十八回　　奇男子法傳洪昆
039 第三十九回　　打擂臺巧遇桂芳
040 第四十回　　劉尚書文武興闈
041 第四十一回　　蔣佩香錯中得偶
042 第四十二回　　倭王妃入海起兵
043 第四十三回　　眾女將大戰聖姑
044 第四十四回　　通元子再助平倭
045 第四十五回　　張元帥奏捷勘奸
046 第四十六回　　舊功臣追贈洗冤
047 第四十七回　　復父仇剮心祭墓
048 第四十八回　　送捷音眾美歸杭
049 第四十九回　　李蘭芳于歸曹府
050 第五十回　　五美人報仇雪恨
051 第五十一回　　通元子指點前因
052 第五十二回　　東浙王歸第完姻
053 第五十三回　　恬淡人草堂閑話
