000 本書說明
001 序
002 第一回　　大院君虐待耶穌教　閔泳駿誤擊日兵船
003 第二回　　定商約院君歸政　攻使館日本興師
004 第三回　　廢院君王妃擔國政　謀變法新舊起衝突
005 第四回　　吳提督大戰漢城　安員外逃難平壤
006 第五回　　中途路員外逢凶災　仁裡村元首施大義
007 第六回　　中日因韓定條約　王妃為國罹凶災
008 第七回　　寇本良千里寄魚書　侯元首平壤設租（祖）帳
009 第八回　　雲在霄首誅袒日黨　金有聲始倡興東學
010 第九回　　金玉均寄書完用　東學黨作亂全羅
011 第十回　　洪啟勛兵敗古埠　侯元首義說有聲
012 第十一回　　中國平定東學黨　日本改革朝鮮政
013 第十二回　　中日交兵由韓國　德美說和為友邦
014 第十三回　　李傅相定約馬關　日政府監督韓國
015 第十四回　　憂國弱英雄別母　患學淺志士游洋
016 第十五回　　安重根路收三義友　金有聲店結九良朋
017 第十六回　　英雄同入美學校　侯弼集股開報館
018 第十七回　　伊藤拜受統監印　韓國坐失行政權
019 第十八回　　索國債監埋財政　傷人命強奪警權
020 第十九回　　日人肆行淫婦女　韓國又失審判權
021 第二十回　　農夫懷恨倡革命　婦女因仇起義團
022 第二十一回　　本良返國倡自治　岳子復仇刺統監
023 第二十二回　　侯元首為徒殞命　寇本良微服出奔
024 第二十三回　　安志士歸國弔恩師　雲在岫義倡愛國會
025 第二十四回　　安志士中途逢故友　伊相國哈埠受凶災
026 第二十五回　　李完用賣國求榮　金洪疇兵敗逃走
027 第二十六回　　既合併英雄徒落淚　未瓜分國事宜關心
